Order,8- or 10-Digit HS Code,brief_description,Sector,Subsector,Stage,mfn_text,Unit of Quantity
34,26201960,"Ash and residues (not from the mfr. of iron or steel), containing mainly zinc, other than hard zinc spelter/zinc dross & skimmings",Critical Minerals and Materials,Critical Minerals,Primary,0.7 cents/kg on copper content + 0.7 cents/kg on lead content,NA
35,26209930,Materials (ash and residues) not provided for elsewhere in heading 2620 containing by weight over 10 percent nickel,Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
36,71123001,"Ash containing precious metals or precious metal compounds, other than goods of e-waste heading 8549",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
37,71129201,"Platinum waste and scrap, incl. metal clad w/ platinum, excluding sweepings containing other precious metals, other than goods of e-waste heading 8549",Critical Minerals and Materials,Critical Minerals,Primary,Free,GM
38,75030000,"Nickel, waste and scrap",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
39,76020000,"Aluminum, waste and scrap",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
40,79020000,"Zinc, waste and scrap",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
41,80020000,"Tin, waste and scrap",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
42,81019700,Tungsten waste and scrap,Critical Minerals and Materials,Critical Minerals,Primary,2.80%,KG
43,81033000,Tantalum waste and scrap,Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
44,81042000,"Magnesium, waste and scrap",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
45,81053000,Cobalt waste and scrap,Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
46,81061000,"Bismuth (including waste and scrap) and articles thereof, containing more than 99.99 percent of bismuth by weight",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
47,81069000,"Bismuth (including waste and scrap) and articles thereof, containing 99.99 percent of bismuth or less, nesoi",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
48,81083000,Titanium waste and scrap,Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
49,81093100,"Zirconium waste and scrap, containing less than 1 part hafnium to 500 parts zirconium by weight",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
50,81093900,"Zirconium waste and scrap, not containing less than 1 part hafnium to 500 parts zirconium by weight",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
51,81102000,Antimony waste and scrap,Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
52,81110030,"Manganese, waste and scrap",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
53,81110060,"Manganese (o/than waste and scrap, unwrought) and articles thereof, nesoi",Critical Minerals and Materials,Critical Minerals,Primary,3.70%,KG
54,81121300,Beryllium waste and scrap,Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
55,81122200,Chromium waste and scrap,Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
56,81124110,"Rhenium, waste and scrap",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
57,81125200,Thallium waste and scrap,Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
58,81129207,"Waste and scrap of gallium, germanium, indium, niobium, or vanadium",Critical Minerals and Materials,Critical Minerals,Primary,Free,KG
59,81129210,"Gallium, unwrought; gallium powders",Critical Minerals and Materials,Critical Minerals,Primary,3%,KG
60,81130000,Cermets (including waste & scrap) and articles thereof,Critical Minerals and Materials,Critical Minerals,Primary,3.70%,KG
61,26204000,"Ash and residues (not from the mfr. of iron or steel), containing mainly aluminum",Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
62,26206010,"Ash/residues contain arsenic, mercury, thallium or their mixtures, kind used only for extraction of arsenic or manufacture of its compounds",Critical Minerals and Materials,Critical Minerals,Processed,5%,KG
63,26209100,"Ash and residues (other than from the manufacture of iron or steel), containing antimony, beryllium, cadmium, chromium or their mixtures",Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
64,26209910,"Ash and residues (other than from the manufacture of iron or steel), containing mainly vanadium",Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
65,26209920,"Ash and residues (other than from the manufacture of iron or steel), containing mainly tungsten",Critical Minerals and Materials,Critical Minerals,Processed,17.6 cents/kg on tungsten content + 3.8%,KG
66,26209950,Slag (other than from the manufacture of iron or steel) contains over 40% titanium & if has over 2% Cu/Pb/Zn is not for recovery thereof,Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
67,26209975,"Residues (not from mfr. of iron or steel) cont. metals/metal compounds nesoi, and n/adv. in value or cond. & if > 2% Cu/Pb/Zn n/for recovery",Critical Minerals and Materials,Critical Minerals,Processed,Free,NA
68,26209985,"Other ash and residues (other than from the manufacture of iron or steel), containing metals or metal compounds, nesoi",Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
69,28013010,Fluorine,Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
70,28045000,Boron; tellurium,Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
71,28048000,Arsenic,Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
72,28051990,"Alkali metals, other than sodium",Critical Minerals and Materials,Critical Minerals,Processed,5.50%,KG
73,28053000,"Rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed",Critical Minerals and Materials,Critical Minerals,Processed,5%,KG
74,28111100,Hydrogen fluoride (Hydrofluoric acid),Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
75,28111910,Arsenic acid,Critical Minerals and Materials,Critical Minerals,Processed,2.30%,KG
76,28112910,Arsenic trioxide,Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
77,28139010,Arsenic sulfides,Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
78,28161000,Hydroxide and peroxide of magnesium,Critical Minerals and Materials,Critical Minerals,Processed,3.10%,KG
79,28164020,"Oxides, hydroxides and peroxides of barium",Critical Minerals and Materials,Critical Minerals,Processed,2%,KG
80,28170000,Zinc oxide; zinc peroxide,Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
81,28182000,"Aluminum oxide, other than artificial corundum",Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
82,28183000,Aluminum hydroxide,Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
83,28191000,Chromium trioxide,Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
84,28199000,"Chromium oxides and hydroxides, other than chromium trioxide",Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
85,28201000,Manganese dioxide,Critical Minerals and Materials,Critical Minerals,Processed,4.70%,KG
86,28209000,"Manganese oxides, other than manganese dioxide",Critical Minerals and Materials,Critical Minerals,Processed,4.70%,KG
87,28220000,Cobalt oxides and hydroxides; commercial cobalt oxides,Critical Minerals and Materials,Critical Minerals,Processed,0.10%,KG
88,28230000,Titanium oxides,Critical Minerals and Materials,Critical Minerals,Processed,5.50%,KG
89,28252000,Lithium oxide and hydroxide,Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
90,28253000,Vanadium oxides and hydroxides,Critical Minerals and Materials,Critical Minerals,Processed,5.50%,KG
91,28254000,Nickel oxides and hydroxides,Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
92,28256000,Germanium oxides and zirconium dioxide,Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
93,28258000,Antimony oxides,Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
94,28259010,Beryllium oxide and hydroxide,Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
95,28259015,Niobium oxide,Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
96,28259020,Tin oxides,Critical Minerals and Materials,Critical Minerals,Processed,4.20%,KG
97,28259030,Tungsten oxides,Critical Minerals and Materials,Critical Minerals,Processed,5.50%,KG
98,28259090,"Other inorganic bases; other metal oxides, hydroxides and peroxides, nesoi",Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
99,28261200,Fluorides of aluminum,Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
100,28263000,Sodium hexafluoroaluminate (Synthetic cryolite),Critical Minerals and Materials,Critical Minerals,Processed,Free,T
101,28269090,"Other complex fluorine salts, nesoi",Critical Minerals and Materials,Critical Minerals,Processed,3.10%,KG
102,28273100,Magnesium chloride,Critical Minerals and Materials,Critical Minerals,Processed,1.50%,KG
103,28273500,Nickel chloride,Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
104,28273910,Vanadium chlorides,Critical Minerals and Materials,Critical Minerals,Processed,5.50%,KG
105,28273925,Tin chlorides,Critical Minerals and Materials,Critical Minerals,Processed,4.20%,KG
106,28273930,Titanium chlorides,Critical Minerals and Materials,Critical Minerals,Processed,4.90%,KG
107,28273940,Tungsten hexachloride,Critical Minerals and Materials,Critical Minerals,Processed,5.50%,KG
108,28273945,Barium chloride,Critical Minerals and Materials,Critical Minerals,Processed,4.20%,KG
109,28273960,Cobalt chlorides,Critical Minerals and Materials,Critical Minerals,Processed,4.20%,KG
110,28273965,Zinc chloride,Critical Minerals and Materials,Critical Minerals,Processed,1.60%,KG
111,28273990,"Chlorides, nesoi",Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
112,28274910,Chloride oxides and chloride hydroxides of vanadium,Critical Minerals and Materials,Critical Minerals,Processed,5.50%,KG
113,28275951,"Other bromides and bromide oxides, other than ammonium, calcium or zinc",Critical Minerals and Materials,Critical Minerals,Processed,3.60%,KG
114,28276051,"Iodides and iodide oxides, other than of calcium, copper or potassium",Critical Minerals and Materials,Critical Minerals,Processed,4.20%,KG
115,28309010,"Zinc sulfide, luminescent grade, purity>= 99.99 % By wt.",Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
116,28309015,Zinc sulfide excluding luminescent grade,Critical Minerals and Materials,Critical Minerals,Processed,2.80%,KG
117,28309090,"Polysulfides; sulfides, other than those of zinc and cadmium",Critical Minerals and Materials,Critical Minerals,Processed,3%,KG
118,28332100,Magnesium sulfate,Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
119,28332400,Nickel sulfate,Critical Minerals and Materials,Critical Minerals,Processed,3.20%,KG
120,28332700,Barium sulfate,Critical Minerals and Materials,Critical Minerals,Processed,0.60%,KG
121,28332910,Cobalt sulfate,Critical Minerals and Materials,Critical Minerals,Processed,1.40%,KG
122,28332930,Vanadium sulfate,Critical Minerals and Materials,Critical Minerals,Processed,5.50%,KG
123,28332940,Chromium sulfate,Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
124,28332945,Zinc sulfate,Critical Minerals and Materials,Critical Minerals,Processed,1.60%,KG
125,28332951,Other sulfates nesoi,Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
126,28342905,Bismuth nitrate,Critical Minerals and Materials,Critical Minerals,Processed,5.50%,KG
127,28342951,"Nitrates, nesoi",Critical Minerals and Materials,Critical Minerals,Processed,3.50%,KG
128,28366000,Barium carbonate,Critical Minerals and Materials,Critical Minerals,Processed,2.30%,KG
129,28369100,Lithium carbonates,Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
130,28369910,Cobalt carbonates,Critical Minerals and Materials,Critical Minerals,Processed,4.20%,KG
131,28369920,Bismuth carbonate,Critical Minerals and Materials,Critical Minerals,Processed,5.50%,KG
132,28369950,"Carbonates nesoi, and peroxocarbonates (percarbonates)",Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
133,28413000,Sodium dichromate,Critical Minerals and Materials,Critical Minerals,Processed,2.40%,KG
134,28415010,Potassium dichromate,Critical Minerals and Materials,Critical Minerals,Processed,1.50%,KG
135,28415091,Chromates except of zinc or lead and dichromates except of sodium or potassium; peroxochromates,Critical Minerals and Materials,Critical Minerals,Processed,3.10%,KG
136,28416100,Potassium permanganate,Critical Minerals and Materials,Critical Minerals,Processed,5%,KG
137,28416900,"Manganites, manganates and permanganates (except potassium permanganate)",Critical Minerals and Materials,Critical Minerals,Processed,5%,KG
138,28418000,Tungstates (wolframates),Critical Minerals and Materials,Critical Minerals,Processed,5.50%,KG
139,28419010,Vanadates,Critical Minerals and Materials,Critical Minerals,Processed,5.50%,KG
140,28419030,Potassium stannate,Critical Minerals and Materials,Critical Minerals,Processed,3.10%,KG
141,28419045,Chromates of zinc or of lead,Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
142,28461000,Cerium compounds,Critical Minerals and Materials,Critical Minerals,Processed,5.50%,KG
143,28469020,Mixtures of rare-earth oxides or of rare-earth chlorides,Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
144,28469040,Yttrium materials and compounds containing by wt. >19% But < 85% yttrium oxide equivalent,Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
145,28469080,"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium, or of mixtures of these metals, nesoi",Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
146,28499020,Chromium carbide,Critical Minerals and Materials,Critical Minerals,Processed,4.20%,KG
147,28499030,Tungsten carbide,Critical Minerals and Materials,Critical Minerals,Processed,5.50%,KG
148,28500007,"Hydride, nitride, azide, silicide and boride of titanium",Critical Minerals and Materials,Critical Minerals,Processed,4.90%,KG
149,28500010,"Hydride, nitride, azide, silicide and boride of tungsten",Critical Minerals and Materials,Critical Minerals,Processed,5.50%,KG
150,28500020,"Hydride, nitride, azide, silicide and boride of vanadium",Critical Minerals and Materials,Critical Minerals,Processed,5.50%,KG
151,28500050,"Hydrides, nitrides, azides, silicides and borides other than of calcium, titanium, tungsten or vanadium",Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
152,29152930,Cobalt acetates,Critical Minerals and Materials,Critical Minerals,Processed,4.20%,KG
153,32061100,Pigments & preparations based on titanium dioxide containing 80 percent or more by weight off titanium dioxide calculated on the dry weight,Critical Minerals and Materials,Critical Minerals,Processed,6%,KG
154,32061900,"Pigments and preparations based on titanium dioxide, nesoi",Critical Minerals and Materials,Critical Minerals,Processed,6%,KG
155,32064200,Lithopone and other pigments and preparations based on zinc sulfide,Critical Minerals and Materials,Critical Minerals,Processed,2.20%,KG
156,34059000,"Polishes, creams and similar preparations for glass or metal",Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
157,36069030,Ferrocerium and other pyrophoric alloys in all forms,Critical Minerals and Materials,Critical Minerals,Processed,5.90%,KG
158,38151100,Supported catalysts with nickel or nickel compounds as the active substance,Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
159,38151200,Supported catalysts with precious metal or precious metal compounds as the active substance,Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
160,38151900,Supported catalysts other than with nickel or precious metal or their compounds as the active substance,Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
161,38159010,"Reaction initiators, reaction accelerators and catalytic preparations, nesoi, consisting wholly of bismuth, of tungsten or of vanadium",Critical Minerals and Materials,Critical Minerals,Processed,6.50%,KG
162,38180000,"Chemical elements doped for use in electronics, in the form of discs, wafers etc., chemical compounds doped for electronic use",Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
163,38249931,Mixtures of bismuth,Critical Minerals and Materials,Critical Minerals,Processed,6.50%,KG
164,38249935,Mixtures of tungsten,Critical Minerals and Materials,Critical Minerals,Processed,6.50%,KG
165,38249936,Mixture of vanadium,Critical Minerals and Materials,Critical Minerals,Processed,6.50%,KG
166,71101100,"Platinum, unwrought or in powder form",Critical Minerals and Materials,Critical Minerals,Processed,Free,CGM
167,71101900,"Platinum, in semimanufactured forms",Critical Minerals and Materials,Critical Minerals,Processed,Free,CGM
168,71102100,"Palladium, unwrought or in powder form",Critical Minerals and Materials,Critical Minerals,Processed,Free,CGM
169,71102900,"Palladium, in semimanufactured forms",Critical Minerals and Materials,Critical Minerals,Processed,Free,CGM
170,71103100,"Rhodium, unwrought or in powder form",Critical Minerals and Materials,Critical Minerals,Processed,Free,CGM
171,71103900,"Rhodium, in semimanufactured forms",Critical Minerals and Materials,Critical Minerals,Processed,Free,CGM
172,71104100,"Iridium, osmium and ruthenium, unwrought or in powder form",Critical Minerals and Materials,Critical Minerals,Processed,Free,NA
173,71104900,"Iridium, osmium and ruthenium, in semimanufactured forms",Critical Minerals and Materials,Critical Minerals,Processed,Free,NA
174,72021110,Ferromanganese containing by weight more than 2 percent but not more than 4 percent of carbon,Critical Minerals and Materials,Critical Minerals,Processed,1.40%,KG
175,72021150,Ferromanganese containing by weight more than 4 percent of carbon,Critical Minerals and Materials,Critical Minerals,Processed,1.50%,KG
176,72021910,Ferromanganese containing by weight not more than 1 percent of carbon,Critical Minerals and Materials,Critical Minerals,Processed,2.30%,KG
177,72021950,Ferromanganese containing by weight more than 1 percent but not more than 2 percent of carbon,Critical Minerals and Materials,Critical Minerals,Processed,1.40%,KG
178,72023000,Ferrosilicon manganese,Critical Minerals and Materials,Critical Minerals,Processed,3.90%,KG
179,72024100,Ferrochromium containing by weight more than 4 percent of carbon,Critical Minerals and Materials,Critical Minerals,Processed,1.90%,KG
180,72024910,Ferrochromium containing by weight more than 3 percent but not more than 4 percent of carbon,Critical Minerals and Materials,Critical Minerals,Processed,1.90%,KG
181,72024950,Ferrochromium containing by weight 3 percent or less of carbon,Critical Minerals and Materials,Critical Minerals,Processed,3.10%,KG
182,72025000,Ferrosilicon chromium,Critical Minerals and Materials,Critical Minerals,Processed,10%,KG
183,72026000,Ferronickel,Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
184,72028000,Ferrotungsten and ferrosilicon tungsten,Critical Minerals and Materials,Critical Minerals,Processed,5.60%,KG
185,72029100,Ferrotitanium and ferrosilicon titanium,Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
186,72029200,Ferrovanadium,Critical Minerals and Materials,Critical Minerals,Processed,4.20%,KG
187,72029340,Ferroniobium containing by weight less than 0.02 percent of phosphorus or sulfur or less than 0.4 percent of silicon,Critical Minerals and Materials,Critical Minerals,Processed,5%,KG
188,72029380,"Ferroniobium, nesoi",Critical Minerals and Materials,Critical Minerals,Processed,5%,KG
189,72029910,Ferrozirconium,Critical Minerals and Materials,Critical Minerals,Processed,4.20%,KG
190,72272000,"Alloy silico-manganese steel, bars and rods in irregularly wound coils, hot-rolled",Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
191,72282010,"Alloy silico-manganese steel, bars and rods, not cold-formed, o/than hot-rolled and in irregularly wound coils",Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
192,72282050,"Alloy silico-manganese steel, bars and rods, cold formed, o/than hot-rolled and in irregularly wound coils",Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
193,74050060,"Copper master alloys, not containing 5% or more but n/more than 15% by weight of phosphorus",Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
194,75011000,Nickel mattes,Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
195,75012000,Nickel oxide sinters and other intermediate products of nickel metallurgy,Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
196,75021000,"Nickel (o/than alloy), unwrought",Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
197,75022000,"Nickel alloys, unwrought",Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
198,75040000,"Nickel, powders and flakes",Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
199,75051110,"Nickel (o/than alloy), bars and rods, cold formed",Critical Minerals and Materials,Critical Minerals,Processed,3%,KG
200,75051130,"Nickel (o/than alloy), bars and rods, not cold formed",Critical Minerals and Materials,Critical Minerals,Processed,2.60%,KG
201,75051150,"Nickel (o/than alloy), profiles",Critical Minerals and Materials,Critical Minerals,Processed,3%,KG
202,75051210,"Nickel alloy, bars and rods, cold formed",Critical Minerals and Materials,Critical Minerals,Processed,3%,KG
203,75051230,"Nickel alloy, bars and rods, not cold formed",Critical Minerals and Materials,Critical Minerals,Processed,2.50%,KG
204,75051250,"Nickel alloy, profiles",Critical Minerals and Materials,Critical Minerals,Processed,3%,KG
205,75089050,"Nickel, articles of nesoi",Critical Minerals and Materials,Critical Minerals,Processed,3%,KG
206,76011030,"Aluminum (o/than alloy), unwrought, in coils, w/uniform x-section throughout length & w/least cross-sectional dimension n/o 9.5 mm",Critical Minerals and Materials,Critical Minerals,Processed,2.60%,KG
207,76011060,"Aluminum (o/than alloy), unwrought nesoi",Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
208,76012030,"Aluminum alloys, unwrought, in coils, w/uniform x-section throughout length & w/least cross-sectional dimension n/o 9.5 mm",Critical Minerals and Materials,Critical Minerals,Processed,2.60%,KG
209,76012060,"Aluminum alloys, w/25% or more by weight of silicon, unwrought nesoi",Critical Minerals and Materials,Critical Minerals,Processed,2.10%,KG
210,76012090,"Aluminum alloys nesoi, unwrought nesoi",Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
211,76041010,"Aluminum (o/than alloy), profiles",Critical Minerals and Materials,Critical Minerals,Processed,5%,KG
212,76041030,"Aluminum (o/than alloy), bar and rods, with a round cross section",Critical Minerals and Materials,Critical Minerals,Processed,2.60%,KG
213,76041050,"Aluminum (o/than alloy), bar and rods, other than with a round cross section",Critical Minerals and Materials,Critical Minerals,Processed,3%,KG
214,76042100,"Aluminum alloy, hollow profiles",Critical Minerals and Materials,Critical Minerals,Processed,1.50%,KG
215,76042910,"Aluminum alloy, profiles (o/than hollow profiles)",Critical Minerals and Materials,Critical Minerals,Processed,5%,KG
216,76042930,"Aluminum alloy, bars and rods, having a round cross section",Critical Minerals and Materials,Critical Minerals,Processed,2.60%,KG
217,76042950,"Aluminum alloy, bars and rods, other than with a round cross section",Critical Minerals and Materials,Critical Minerals,Processed,3%,KG
218,78019100,"Lead (o/than refined lead), containing by weight antimony as the principal other element, unwrought",Critical Minerals and Materials,Critical Minerals,Processed,2.5% on the value of the lead content,KG
219,79011100,"Zinc (o/than alloy), unwrought, containing o/99.99% by weight of zinc",Critical Minerals and Materials,Critical Minerals,Processed,1.50%,KG
220,79011210,"Zinc (o/than alloy), unwrought, casting-grade zinc, containing at least 97.5% but less than 99.99% by weight of zinc",Critical Minerals and Materials,Critical Minerals,Processed,3%,KG
221,79011250,"Zinc (o/than alloy), unwrought, o/than casting-grade zinc, containing at least 97.5% but less than 99.99% by wt. of zinc",Critical Minerals and Materials,Critical Minerals,Processed,1.50%,KG
222,79012000,"Zinc alloy, unwrought",Critical Minerals and Materials,Critical Minerals,Processed,3%,KG
223,79031000,"Zinc, dust",Critical Minerals and Materials,Critical Minerals,Processed,0.7 cents/kg,KG
224,79039030,"Zinc, powders",Critical Minerals and Materials,Critical Minerals,Processed,0.5 cents/kg,KG
225,79039060,"Zinc, flakes",Critical Minerals and Materials,Critical Minerals,Processed,3%,KG
226,79070060,"Zinc, articles (o/than for household, table or kitchen use), nesoi",Critical Minerals and Materials,Critical Minerals,Processed,3%,KG
227,80011000,"Tin (o/than alloy), unwrought",Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
228,80012000,"Tin alloy, unwrought",Critical Minerals and Materials,Critical Minerals,Processed,Free,KG
229,80070032,"Tin, powders and flakes",Critical Minerals and Materials,Critical Minerals,Processed,2.80%,KG
230,80070050,"Tin, articles nesoi",Critical Minerals and Materials,Critical Minerals,Processed,2.80%,KG
231,81011000,"Tungsten, powders",Critical Minerals and Materials,Critical Minerals,Processed,7%,KG
232,81019400,"Tungsten, unwrought (including bars and rods obtained simply by sintering)",Critical Minerals and Materials,Critical Minerals,Processed,6.60%,KG
233,81019980,"Tungsten, articles nesoi",Critical Minerals and Materials,Critical Minerals,Processed,3.70%,KG
234,81032000,"Tantalum, unwrought (including bars and rods obtained simply by sintering); tantalum powders",Critical Minerals and Materials,Critical Minerals,Processed,2.50%,KG
235,81039100,"Tantalum, crucibles",Critical Minerals and Materials,Critical Minerals,Processed,4.40%,KG
236,81039900,"Tantalum, articles other than crucibles, nesoi",Critical Minerals and Materials,Critical Minerals,Processed,4.40%,KG
237,81041100,"Magnesium, unwrought, containing at least 99.8 percent by weight of magnesium",Critical Minerals and Materials,Critical Minerals,Processed,8%,KG
238,81041900,"Magnesium, unwrought, nesoi",Critical Minerals and Materials,Critical Minerals,Processed,6.50%,KG
239,81043000,"Magnesium, raspings, turnings and granules graded according to size; magnesium powders",Critical Minerals and Materials,Critical Minerals,Processed,4.40%,KG
